gene,logFC,p_value
IL4R,-0.00036263715531170096,0.024058413910911396
CSK,-0.0012043598676980257,0.017037025277865065
NOD1,-0.00017464978934387453,0.019172361719652222
RBP1,-0.0007154652907582985,0.016456082306768698
CCN2,-0.004553860473913648,0.016899915513097732
SPP1,-0.0017901136769545925,0.03639157023343583
LRP1,-0.0037630265949478428,0.01578047687551702
SLPI,0.003357909649143031,0.009017144044102894
HCST,-0.0005122831214045176,0.017200707707145487
GMFG,-0.0003453035948388647,0.03237711780565263
CCN1,-0.002095102104948607,0.01854530265658133
TNFRSF14,-0.0012807513310414283,0.01607758172565265
CASP3,-0.0003484143951651364,0.017253374794287728
JUN,-0.0025387768027896034,0.014245702341612774
HLA-DPA1,-0.0020225037284056094,0.02305574370092391
ITGAL,-0.00041031340957122127,0.021073371860189403
CD79B,-0.00024870337158889775,0.031146441075310612
TNFRSF1A,-0.00195495169888442,0.01629874063545225
LTBP4,-0.0006391762111827588,0.01752386444832469
LGMN,-0.0014902773550884009,0.019051494806402846
NFATC4,-0.000557889329552406,0.01620450081906366
TYK2,-0.000872348551942382,0.015924513861039727
ENG,-0.0035182822873785517,0.015004518400034661
TNFRSF10B,-0.000349328952532518,0.020365736955051675
NR4A1,-0.0015736793817777268,0.014729892225455647
C3,-0.005103401752996929,0.022518306954721713
ANGPTL2,-0.0006062378408569526,0.020722962011161666
ARRB1,-0.0005304597629875274,0.018843596485885947
CXCL9,0.0007370811389999406,0.011325451550526952
VAV1,-0.0003415020954693576,0.024230986736863823
PIK3R1,-0.002187895438795687,0.00937253719423027
NFKBIE,-0.00028234705190218845,0.015421947618483303
S100A9,-0.007333755192200281,0.028087343973442813
PSMC3,-0.001311378068713319,0.01588350512838027
BMP1,-0.0008624801605425481,0.013364067767302047
TCF4,-0.0003647676898215714,0.026662851226284347
MICA,-0.0002364466268653764,0.02332121736833033
LAT,-0.00015604755470890092,0.03432824465674682
APOBEC3C,-0.0001375670416175493,0.04282498488143648
TYROBP,-0.0011650344858806171,0.022650652647104273
LTF,-0.0028732205343691463,0.047769054533010925
SLC11A1,-0.0001625209394599936,0.015329968954300574
NR1H3,-0.00037739053140390766,0.016920762968531598
MMP9,-0.0019211961855195468,0.01700033890317019
NDRG1,-0.0028125640387764352,0.0126900932452248
NFKBIB,-0.00013164551689822307,0.018368563581579758
PTGDS,-0.0010321686127572356,0.03395722166231931
INHBA,-0.0005586352158087636,0.026324867361542895
BPHL,-0.00013696106593397248,0.02300741163335657
ACVRL1,-0.000456135056145263,0.013188622345487549
CMTM3,-0.001055849282785259,0.02269490943737702
CSRP1,-0.0008500072879837873,0.04306346656139351
ITGB2,-0.0007563852978726138,0.020977950461990004
IL16,-0.00028956577654235167,0.021658637246657692
GRB2,-0.0009170484376267312,0.017509036212570755
MPI,-0.000600882667465953,0.014052483535851838
DAXX,-0.000838469326282909,0.01748204121162773
TNFSF12,-0.0004387475778269769,0.0198194475898855
S1PR2,-0.00039842339546454866,0.015892427581383463
PGF,-0.0005112030320219067,0.013017940377284076
SECTM1,-0.000694348809617265,0.016008116385428633
INPP5D,-0.0003550785466946788,0.020978115808028195
CMTM4,-0.00046824788578283356,0.016981026917338705
TNFRSF4,-0.00019827277678847278,0.017366583114015642
TNFRSF25,-0.000658464186839584,0.016437910287245925
SLC22A17,-0.00044869200717157377,0.01765785489722652
NRP1,-0.0006958085836034837,0.02254723160924594
IL27RA,-0.00021345203276298985,0.03392556242088265
DAP,-0.001959234483368311,0.013544630314765492
PDGFRB,-0.0018495831825644606,0.015114182237961835
PLXNA1,-0.0005317666662108657,0.014968481670732878
ZAP70,-0.00018554259270784333,0.03679192876807445
SLIT3,-0.0003582536946421474,0.022189672148422657
TPM2,-0.0031805593165318384,0.014688003284730165
PDGFB,-0.00035059952286185,0.019383405007006867
ICAM2,-0.0003599813912524278,0.017807001008387197
AKT3,-0.0002592395948956519,0.04872833889797404
TGFB3,-0.0005886422875494245,0.01687812071859152
IRF1,-0.0009401590125280809,0.020480752450404257
TRAF2,-0.000637864443410945,0.017195755959514843
SAA1,-0.00048763208994759125,0.02263826711880299
CSF1,-0.0004723581884058831,0.020881682287075917
S100A14,-0.004323762327147523,0.016911885394952055
TRIM27,-0.0008357151484274939,0.016703980916947928
DEF6,-0.0006640862313306995,0.022664987453616958
NAMPT,-0.00042854023684081946,0.03174444643130899
SDS,-0.00040211383279347877,0.016085142466172455
CD14,-0.0028001601387289974,0.01681631278786943
PIK3CD,-0.0003217199410150283,0.020788127968816586
F2R,-0.0003541411857872248,0.017907222515982625
HMOX1,-0.0005710009395882719,0.016166420860626512
PLCG1,-0.000583362406365193,0.016713070265253756
ANGPTL4,-0.0009197783566736711,0.011338203820716741
NMB,-0.0004307777261572719,0.012889814694040633
PSMB8,-0.0008869540282556844,0.02565526919041705
CX3CL1,-0.0004287572109764275,0.01555016574590051
TXLNA,-0.0011668528234509454,0.01476742410041156
APLNR,-0.00041288957638654065,0.013905400215114432
RBP7,-0.0001673799284758021,0.03416793107417968
S100P,-0.0017269425271897575,0.032255606591723565
CXCL12,-0.0014623336500291695,0.03130688541393573
SAA2,-0.00047164731081384586,0.014961793008245535
C5AR1,-0.00021373577563283303,0.015382773347111712
