gene,logFC,p_value
IL4R,0.00033007914993051857,0.044854537885819154
CSK,0.0008285956604971645,0.041505252322314126
CCN2,0.0034641278391009077,0.026115781803100067
LRP1,0.0024771774782580552,0.02470536501772374
GMFG,0.00035798745670435656,0.03696288974783409
TNFRSF14,0.0006540370827631155,0.0474188403623519
CASP3,0.000228705901280856,0.03214346212908337
ITGAL,0.0002859384691056208,0.047546892349537656
TNFRSF1A,0.0012838071460975651,0.026061188589408275
LTBP4,0.0004948678401563652,0.020177952269934695
TYK2,0.00046485425148164866,0.045162727628155784
TNFRSF10B,0.000293510481680729,0.0131500584768086
NR4A1,0.000863679524393147,0.04662413716659907
C3,0.003983991896811003,0.03945450099591056
ANGPTL2,0.0004973456678645418,0.03324577548136289
VAV1,0.00032399051237170184,0.03090201221196599
CXCL14,0.003481751530902572,0.005887139156615841
BMP1,0.0005247975722116774,0.025384295370384204
TCF4,0.00033175751540821656,0.046509980485780325
MICA,0.0002558285494800908,0.016199504083348085
LAT,0.0001595898182037525,0.02423697229538085
TYROBP,0.0009469646345464013,0.03801227556570794
ACVRL1,0.0002779998894337308,0.0395528506411122
CMTM3,0.0009402770513698457,0.022452297587392343
MPI,0.0002949736129973157,0.04891200847476251
DAXX,0.0006531700658045734,0.026787859576572117
TNFSF12,0.00028013206320436947,0.034659094210761174
S1PR2,0.00024853610134295133,0.021161153719288388
PGF,0.0002780137912123115,0.03264267113365573
INPP5D,0.00030650902182897586,0.03633287901410568
TNFRSF4,0.00011363402906519311,0.03904037192688879
SLC22A17,0.0002870798515206912,0.017347631215609192
IL27RA,0.0002406748564077112,0.017652914965985967
PDGFRB,0.00114971812684717,0.0300492631673963
TPM2,0.0020980780514708343,0.027478653729040528
PTPRC,0.0006975463784800586,0.04202431528619347
ICAM2,0.0002671214988951003,0.04655955851084501
TRAF2,0.00042192372308094,0.03847688823612945
CSF1,0.00040268986492050254,0.021473943560077046
PIK3CD,0.00025454951473123655,0.038985916696248256
F2R,0.00022298779916195472,0.04838179111287832
TXLNA,0.0006771458191761944,0.040226808355910915
APLNR,0.00022213164234671377,0.04176409068270618
RBP7,0.0001878392929669199,0.013405761351404769
CXCL12,0.001382604467399436,0.04219624092743175
C5AR1,0.00014929450769668397,0.03500813660133424
